No. de hilos	Tiempo promedio
0	3.90776968
1	4.12066953980000000000
2	2.90841820540000010000
3	1.82814123340000000000
4	1.34243987479999998000
5	1.12687380400000000000
6	.97905635000000000000
7	.87281602080000000000
8	.79669580840000000000
9	.74357530700000000000
10	.70620723780000000000
11	.67700578480000000000
12	.64962649440000000000
13	.62668930600000000000
14	.60607196400000000000
15	.58978783000000000000
16	.60631214140000000000
17	.57615366120000000000
18	.56619673540000000000
19	.56648796980000000000
20	.56377441220000000000
21	.56612353900000000000
22	.56412874580000000000
23	.56166623280000000000
24	.56102392940000000000
25	.55726074780000000000
26	.55456270040000000000
27	.55404676360000000000
28	.55854655040000000000
29	.56776861020000000000
30	.56065502240000000000
31	.55879995740000000000
32	.55554577500000000000
