No. de hilos,Eficiencia,Fracción serial
1,0.948333673024813,#DIV/0!
2,0.671803262808719,0.488531025912459
3,0.712521477845976,0.201733232676088
4,0.727736443425854,0.124707948430915
5,0.69355941475058,0.110459384852999
6,0.665227233005196,0.100649146753194
7,0.63959963855486,0.0939130094620452
8,0.613121350520212,0.090142642154313
9,0.583930944214519,0.0890664084314713
10,0.553346025194193,0.0896874960029772
11,0.524739665549323,0.0905706897444375
12,0.501284162731238,0.0904433188973037
13,0.479659800820516,0.0904009116269104
14,0.460549938446395,0.0901013226079856
15,0.441714741158133,0.0902788944379576
16,0.402821563883002,0.098832583234537
17,0.398971351196687,0.0941528519216619
18,0.38343265155385,0.0945894080972973
19,0.363065235954906,0.0974625526349399
20,0.346572103614177,0.099231708370069
21,0.328699051809239,0.102114828822255
22,0.314867653648035,0.103616073128786
23,0.30249820915568,0.104809304309776
24,0.290226010218142,0.106330024186918
25,0.280498470091598,0.106878409722022
26,0.271022255441531,0.107589355475014
27,0.261227426778837,0.108772383090279
28,0.249868525295153,0.111189063042145
29,0.237333794436475,0.114766962854152
30,0.232333581487833,0.113936416945179
31,0.225585354440854,0.114430396346525
32,0.219815914359172,0.114492295257278
