No. de hilos,Speedup
1,0.948333673024813
2,1.34360652561744
3,2.13756443353793
4,2.91094577370341
5,3.4677970737529
6,3.99136339803118
7,4.47719746988402
8,4.9049708041617
9,5.25537849793068
10,5.53346025194193
11,5.77213632104256
12,6.01540995277486
13,6.23557741066671
14,6.4476991382495
15,6.62572111737199
16,6.64514502212804
17,6.78251297034368
18,6.9017877279693
19,6.89823948314321
20,6.93144207228354
21,6.90268008799401
22,6.92708838025676
23,6.95745881058065
24,6.96542424523541
25,7.01246175228996
26,7.0465786414798
27,7.05314052302859
28,6.99631870826428
29,6.88268003865776
30,6.970007444635
31,6.99314598766646
32,7.03410925949351
